part_number,capture_sequence,propaedia_page_reference,header_context,image_relative_path,topic_summary,sort_order,observed_title,extraction_method,match_status,match_method,matched_title,matched_volume_number,matched_start_page,matched_page_count_estimate
2,9,84,84 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,Major articles dealing with the features produced by geomorphic processes acting on the Earth's surface,5,Rivers,single_ocr_line,matched,direct,RIVERS,14,843,27
2,9,84,84 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,Major articles dealing with the features produced by geomorphic processes acting on the Earth's surface,6,Soils,single_ocr_line,matched,direct,SOILS,15,441,11
2,9,84,84 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,Major articles dealing with the features produced by geomorphic processes acting on the Earth's surface,7,Geomorphic Processes,single_ocr_line,matched,direct,GEOMORPHIC PROCESSES,8,1,26
2,9,84,84 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,Major articles dealing with the features produced by geomorphic processes acting on the Earth's surface,8,Volcanism,single_ocr_line,matched,direct,VOLCANISM,17,509,15
2,9,84,84 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,Major articles dealing with the features produced by geomorphic processes acting on the Earth's surface,9,Ice and Ice Formations,single_ocr_line,matched,direct,ICE AND ICE FORMATIONS,8,732,28
2,10,86,86 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,Major articles dealing with the origin and development of the tarth and ils enverope,1,Atmosphere,single_ocr_line,matched,direct,ATMOSPHERE,2,315,24
2,10,86,86 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,Major articles dealing with the origin and development of the tarth and ils enverope,2,"Earth, The: Its Properties, Composition, and Structure",single_ocr_line,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,10,86,86 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,Major articles dealing with the origin and development of the tarth and ils enverope,3,Plate Tectonics,single_ocr_line,matched,direct,PLATE TECTONICS,13,883,10
2,10,86,86 Part Two. The Earth,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,Major articles dealing with the origin and development of the tarth and ils enverope,4,Volcanism,single_ocr_line,matched,direct,VOLCANISM,17,509,15
2,11,88,88 Part Two. The Barth,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg,Major articles dealing with the interpretation of the geologic record,1,"Earth, The: Its Properties, Composition, and Structure",single_ocr_line,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,11,88,88 Part Two. The Barth,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg,Major articles dealing with the interpretation of the geologic record,2,Geochronology: The Interpretation and Dating of the Geologic Record,single_ocr_line,unmatched,,,,,
2,12,89,Division IV. Section 243,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,Major articles dealing with the eras and periods of geologic time,1,"Earth, The: Its Properties, Composition, and Structure",single_ocr_line,matched,observed_comma_article_colon,"The EARTH: Its Properties, Composition, and Structure",5,569,46
2,12,89,Division IV. Section 243,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,Major articles dealing with the eras and periods of geologic time,2,Geochronology: The Interpretation and Dating of the Geologic Record,single_ocr_line,unmatched,,,,,
2,12,89,Division IV. Section 243,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,Major articles dealing with the eras and periods of geologic time,3,Volcanism,single_ocr_line,matched,direct,VOLCANISM,17,509,15
